src_link,description,Micrograph_Number,micrometer_values
https://www.doitpoms.ac.uk/miclib/micrographs/small/000129.jpg,"Micrograph
129: 
Woven E - glass fibres in a DERAKANE (TM) matrixSystem: 
Glass fibre composite, 
Composition: 
Not specifiedReflected light microscopy800 μm","Micrograph
129",800 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000130.jpg,"Micrograph
130: 
Woven E - glass fibres in a DERAKANE (TM) matrixSystem: 
Glass fibre composite, 
Composition: 
Not specifiedReflected light microscopy200 μm","Micrograph
130",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000131.jpg,"Micrograph
131: 
Unidirectional T800 carbon fibres in an MTM49 epoxy matrix.System: 
CCcomposite, 
Composition: 
Not specifiedReflected light microscopy250 μm","Micrograph
131",250 µm
https://www.doitpoms.ac.uk/miclib//images/tpl/uoc-logo.jpg,,,
https://www.doitpoms.ac.uk/miclib/micrographs/small/000132.jpg,"Micrograph
132: 
Woven T800 carbon fibres in an MTM49 epoxy matrix.System: 
CCcomposite, 
Composition: 
Not specifiedReflected light microscopy200 μm","Micrograph
132",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000148.gif,"Micrograph
148: 
Magnesia-chrome refractory brickSystem: 
MgO-Cr2O3, 
Composition: 
MgO 70, Cr2O319, Al2O34, Fe2O34, CaO 1, SiO21 (wt%)Reflected light microscopy1 mm","Micrograph
148",
https://www.doitpoms.ac.uk/miclib/micrographs/small/000149.gif,"Micrograph
149: 
Magnesia-chrome refractory brickSystem: 
MgO-Cr2O3, 
Composition: 
MgO 70, Cr2O319, Al2O34, Fe2O34, CaO 1, SiO21 (wt%)Reflected light microscopy100 μm","Micrograph
149",100 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000150.gif,"Micrograph
150: 
Alumina-zirconia-silica (AZS) refractory brickSystem: 
Al2O3-ZrO2-SiO2, 
Composition: 
Al2O350, ZrO232, SiO215 (wt%), + trace alkalisReflected light microscopy300 μm","Micrograph
150",300 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000151.gif,"Micrograph
151: 
Alumina-graphite brickSystem: 
Al2O3-C-Si, 
Composition: 
Al2O3, C up to 30 (wt%), Si few%Reflected light microscopy400 μm","Micrograph
151",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000152.gif,"Micrograph
152: 
Barium HexaferriteSystem: 
BaO-Fe2O3, 
Composition: 
BaO . 6Fe2O3Reflected light microscopy100 μm","Micrograph
152",100 µm
